hr,name,flamsteed,bayer,bayer_sup,cst,hd,sao,var_id,ra_deg_j2000,dec_deg_j2000,vmag,vmag_code,b_v,sp_type,pm_ra_arcsec,pm_de_arcsec,parallax_arcsec,is_ghost
1,,,,,,3,36042,,1.29125,45.229167,6.7,,0.07,A1Vn,-0.012,-0.018,,false
2,,,,,,6,128569,,1.265833,-0.503056,6.29,,1.1,gG9,0.045,-0.06,,false
3, 33    Psc,33,,,Psc,28,128572,Var?,1.33375,-5.7075,4.61,,1.04,K0IIIbCN-0.5,-0.009,0.089,0.014,false
4, 86    Peg,86,,,Peg,87,91701,,1.425,13.396111,5.51,,0.9,G5III,0.045,-0.012,,false
5,,,,,,123,21085,V640 Cas,1.566667,58.436667,5.96,,0.67,G5V,0.263,0.03,0.047,false
6,,,,,,142,214963,,1.579167,-49.075,5.7,,0.52,G1IV,0.565,-0.038,0.05,false
7, 10    Cas,10,,,Cas,144,10978,,1.610417,64.196111,5.59,,-0.03,B9III,0.008,0.0,,false
8,,,,,,166,73743,33,1.653333,29.021389,6.13,,0.75,K0V,0.38,-0.182,0.067,false
9,,,,,,203,166053,,1.70875,-23.1075,6.18,,0.38,A7V,0.1,-0.045,,false
10,,,,,,256,147090,,1.825833,-17.386389,6.19,,0.14,A6Vn,-0.018,0.036,,false
11,,,,,,315,128595,Var?,1.93375,-2.548889,6.43,,-0.14,B8IIIpSi,0.027,-0.002,,false
12,,,,,,319,166066,46,1.945,-22.508889,5.94,,0.14,A2Vp:,0.052,-0.044,,false
13,,,,,,344,192367,,2.014583,-33.529444,5.68,,1.12,K1III,-0.037,0.0,,false
14,,,,,,352,128602,AP Psc,2.050417,-2.447778,6.07,,1.38,K2III+F,0.009,-0.003,,false
15, 21Alp And,21,Alp,,And,358,73765,Alp And,2.097083,29.090556,2.06,,-0.11,B8IVpMnHg,0.136,-0.163,0.032,false
16,,,,,,360,128604,,2.0725,-8.823889,5.99,,1.04,gG8,-0.052,-0.033,,false
17,,,,,,400,53677,,2.170833,36.626667,6.19,,0.48,F8IV,-0.1,-0.145,0.044,false
18,,,,,,402,147103,51,2.139167,-17.5775,6.06,,1.67,M0III,0.0,-0.025,,false
19,,,,,,417,73769,,2.2175,25.462778,6.23,,0.97,K0III,0.114,0.031,,false
20,,,,,,431,4048,,2.334167,79.714722,6.01,,0.19,A7IV,0.102,-0.027,0.002,false
21, 11Bet Cas,11,Bet,,Cas,432,21133,Bet Cas,2.294583,59.149722,2.27,,0.34,F2III-IV,0.525,-0.181,0.072,false
22, 87    Peg,87,,,Peg,448,91734,,2.26,18.211944,5.53,,1.04,G9III,0.137,-0.024,,false
23,,,,,,469,231943,,2.26,-54.001944,6.33,,0.74,G4IV,0.051,0.016,0.009,false
24,   Kap1Scl,,Kap,1,Scl,493,166083,,2.3375,-27.987778,5.42,,0.42,F2V,0.072,-0.004,0.023,false
25,   Eps Phe,,Eps,,Phe,496,214983,,2.352917,-45.7475,3.88,,1.03,K0III,0.124,-0.181,0.066,false
26, 34    Psc,34,,,Psc,560,91750,,2.509583,11.145556,5.51,,-0.07,B9Vn,0.041,-0.003,0.017,false
27, 22    And,22,,,And,571,36123,,2.580417,46.072222,5.03,,0.4,F2II,0.008,0.0,-0.002,false
28,,,,,,584,21162,,2.62375,57.165556,6.74,,-0.08,B7IV,0.023,0.006,,false
29,,,,,,587,128621,,2.578333,-5.248611,5.84,,0.98,K1III,0.036,-0.033,,false
30,   Gam3Oct,,Gam,3,Oct,636,258215,,2.50875,-82.223889,5.28,,1.05,G8III,-0.029,-0.02,,false
31,,,,,,645,147127,,2.678333,-12.58,5.85,,1.01,K0IV,0.15,-0.038,,false
32,,,,,,661,255642,,2.660833,-73.224444,6.64,,0.37,F2V+F6V,0.123,0.016,,false
33,  6    Cet,6,,,Cet,693,147133,,2.81625,-15.468056,4.89,,0.49,F7V,-0.077,-0.268,0.067,false
34,   Kap2Scl,,Kap,2,Scl,720,166103,,2.893333,-27.799722,5.41,,1.34,K5III,0.01,0.016,,false
35,   The Scl,,The,,Scl,739,192388,,2.933333,-35.133056,5.25,,0.44,F4V,0.173,0.119,0.034,false
36,,,,,,743,36148,,2.99625,48.1525,6.16,,1.45,gK4,0.058,0.017,,false
37,,,,,,787,147144,,3.041667,-17.938333,5.25,,1.48,K5III,0.056,-0.031,-0.015,false
38,,,,,,829,53725,,3.21,37.693333,6.73,,-0.13,B2V,0.028,-0.012,,false
39, 88Gam Peg,88,Gam,,Peg,886,91781,Gam Peg,3.309167,15.183611,2.83,,-0.23,B2IV,0.003,-0.012,-0.002,false
40,,,,,,895,73823,,3.35,26.987222,6.3,,0.65,G0III,-0.008,-0.047,0.006,false
41, 23    And,23,,,And,905,36173,,3.378333,41.035278,5.72,,0.31,F0IV,-0.123,-0.148,0.024,false
42,,,,,,942,166130,96,3.425417,-26.021944,5.94,,1.55,K5III,0.026,-0.069,,false
43,,,,,,943,166131,,3.434167,-26.284722,6.31,,1.48,K5III,-0.02,0.012,,false
44,,,,,,952,53744,,3.509583,33.206111,6.25,,-0.01,A1V,-0.006,-0.018,,false
45, 89Chi Peg,89,Chi,,Peg,1013,91792,99,3.650833,20.206667,4.8,,1.57,M2+III,0.093,0.0,0.015,false
46,,,,,,1014,128655,AD Cet,3.615,-7.780556,5.12,,1.62,M3+III,0.059,0.004,0.003,false
47,,,,,,1032,258217,,3.330833,-84.994167,5.77,,1.72,M0-1III,0.004,0.008,,false
48,  7    Cet,7,,,Cet,1038,147169,AE Cet,3.66,-18.932778,4.44,,1.66,M3III,-0.024,-0.067,0.029,false
49,,,,,,1048,73838,,3.73375,22.284167,6.24,,-0.01,A1pSi,0.065,-0.011,,false
50, 35    Psc,35,,,Psc,1061,109087,UU Psc,3.745,8.820833,5.79,,0.31,F0IV,0.097,-0.028,0.017,false
51,,,,,,1064,128660,,3.727083,-9.569722,5.75,,-0.08,B9V,0.028,-0.011,,false
52,,,,,,1075,53755,,3.779167,31.535833,6.45,R,,K5,0.035,-0.005,,false
53,,,,,,1083,73842,,3.794167,27.283056,6.35,,-0.02,A1Vn,0.021,-0.031,,false
54,,,,,,1089,192418,,3.7425,-34.904444,6.17,,1.34,K3III,0.073,-0.023,,false
55,,,,,,1141,4071,,4.058333,76.950833,6.35,,-0.07,B8Vnn,0.018,-0.002,0.013,false
56,,,,,,1185,36221,,4.09,43.594722,6.15,,0.05,A2VpSi,0.043,-0.03,,false
57,,,,,,1187,192430,,4.037083,-31.446389,5.67,,1.35,K5III,0.122,-0.03,,false
58,,,,,,1221,255650,,3.98,-75.911389,6.49,,1.0,G8-K0III,-0.013,0.006,,false
59, 36    Psc,36,,,Psc,1227,109100,,4.142083,8.24,6.11,,0.92,G8II-III,-0.02,-0.019,,false
60,,,,,,1239,11084,,4.237917,61.533333,5.74,,0.88,G8III,-0.001,-0.001,,false
61,,,,,,1256,166167,113,4.177083,-20.210556,6.47,,-0.09,B8III,0.012,-0.014,,false
62,,,,,,1279,36236,,4.287917,47.9475,5.89,,-0.09,B7III,0.008,0.0,,false
63, 24The And,24,The,,And,1280,53777,116,4.272917,38.681667,4.61,,0.06,A2V,-0.05,-0.019,0.022,false
64,,,,,,1324,255652,,4.204167,-78.780556,6.77,,0.46,F3III,0.077,-0.043,,false
65,,,,,,1337,21273,AO Cas,4.429167,51.433056,6.14,,-0.13,O9IIInn,-0.005,-0.004,,false
66,,,,,,1343,147205,,4.385833,-19.051111,6.45,,0.37,F4IV-V,0.015,0.003,,false
67,,,,,,1367,109119,,4.44875,1.688889,6.17,,0.94,K0II,0.095,0.012,,false
68, 25Sig And,25,Sig,,And,1404,53798,118,4.582083,36.785278,4.52,,0.05,A2V,-0.063,-0.041,0.023,false
69,,,,,,1419,91832,,4.571667,11.205833,6.05,,1.03,K0III,-0.036,-0.038,,false
70, 26    And,26,,,And,1438,36256,119,4.675417,43.791111,6.11,,-0.08,B8V,0.02,-0.003,,false
71,,,,,,1439,53803,,4.659583,31.517222,5.87,,-0.01,A0IV,0.058,-0.006,,false
72,,,,,,1461,128690,,4.674167,-8.052778,6.46,,0.68,G0V,0.413,-0.139,0.053,false
73,,,,,,1483,215047,,4.6775,-43.235278,6.33,,1.21,K2III,0.056,0.012,,false
74,  8Iot Cet,8,Iot,,Cet,1522,128694,123,4.857083,-8.823889,3.56,,1.22,K1.5III,-0.014,-0.036,0.013,false
75,,,,,,1527,36269,,4.923333,40.729722,6.33,,1.18,K1III,-0.026,-0.01,,false
76,,,,,,1561,36272,,5.021667,48.865278,6.52,,,A0V s,0.005,-0.017,,false
77,   Zet Tuc,,Zet,,Tuc,1581,248163,,5.017917,-64.874722,4.23,,0.58,F9V,1.705,1.164,0.134,false
78,,,,,,1606,53820,128,5.101667,30.935833,5.9,,-0.1,B7V,0.021,0.004,,false
79,,,,,,1632,53825,,5.189583,32.911389,5.79,,1.59,K5III,-0.026,-0.014,,false
80, 41    Psc,41,,,Psc,1635,109152,132,5.149583,8.190278,5.37,,1.34,gK3,-0.002,0.008,,false
81,,,,,,1663,91858,,5.227083,10.976944,6.56,,,A0V,-0.046,-0.028,0.005,false
82, 27Rho And,27,Rho,,And,1671,53828,,5.280417,37.968611,5.18,,0.42,F5III,0.06,-0.04,0.017,false
83,   Pi  Tuc,,Pi,,Tuc,1685,248167,,5.1625,-69.625,5.51,,-0.05,B9V,-0.007,0.0,0.011,false
84,   Iot Scl,,Iot,,Scl,1737,166207,,5.38,-28.981667,5.18,,1.0,G5III,0.04,-0.074,0.027,false
85,,,,,,1760,166210,T Cet,5.442917,-20.057778,5.12,,1.82,M5IIe,0.071,-0.005,,false
86, 42    Psc,42,,,Psc,1796,91866,,5.60625,13.4825,6.23,,1.22,K3III,0.062,0.021,,false
87,,,,,,1801,255663,,5.369167,-77.426944,5.97,,1.4,K3III,0.002,-0.01,,false
88,  9    Cet,9,,,Cet,1835,147237,BE Cet,5.715833,-12.209444,6.39,,0.66,G2V,0.394,0.061,0.049,false
89,,,,,,1909,192495,,5.8025,-31.036111,6.55,,0.0,B9IVMn,0.029,-0.003,,false
90,,,,,,1967,53860,R And,6.008333,38.577222,7.39,,1.97,S6.5IIIeZr6Ti2,-0.007,-0.023,,false
91,,,,,,1976,21366,155,6.065,52.02,5.57,,-0.12,B5IV,0.013,-0.004,0.004,false
92, NOVA 1572,NO,VA,1,572,,,B Cas,,,,,,,,,,true
93, 12    Cas,12,,,Cas,2011,11172,,6.197917,61.831111,5.4,,0.0,B9III,0.012,-0.001,0.015,false
94,,,,,,2023,128743,,6.12375,-2.219167,6.07,,1.22,K1III,-0.033,-0.044,,false
95, 47    Tuc,47,,,Tuc,,,,,,,,,,,,,true
96,,,,,,2054,21381,159,6.276667,53.046944,5.74,,-0.06,B9IV,0.023,-0.002,,false
97, 44    Psc,44,,,Psc,2114,109192,,6.350833,1.939722,5.77,,0.86,G5III,-0.013,-0.015,,false
98,   Bet Hyi,,Bet,,Hyi,2151,255670,161,6.437917,-77.254167,2.8,,0.62,G2IV,2.215,0.324,0.153,false
99,   Alp Phe,,Alp,,Phe,2261,215093,,6.570833,-42.306111,2.39,,1.09,K0III,0.203,-0.396,0.035,false
100,   Kap Phe,,Kap,,Phe,2262,215092,,6.550833,-43.68,3.94,,0.17,A7V,0.109,0.029,0.072,false
101, 10    Cet,10,,,Cet,2273,128760,Var?,6.655833,-0.049722,6.19,,0.9,G8III,0.073,-0.001,,false
102,,,,,,2363,166282,,6.81125,-25.547222,5.98,,1.03,G8III,0.036,-0.019,,false
103, 47    Psc,47,,,Psc,2411,91910,TV Psc,7.012083,17.893056,5.06,,1.65,M3III,0.117,0.021,0.016,false
104,,,,,,2421,36390,,7.057083,44.394444,5.17,,0.03,A2V s,0.089,-0.016,0.013,false
105,   Eta Scl,,Eta,,Scl,2429,192545,Eta Scl,6.982083,-33.007222,4.81,,1.64,M4III,-0.019,-0.052,-0.014,false
106, 48    Psc,48,,,Psc,2436,91912,,7.052917,16.445,6.06,,1.58,K5III,0.019,-0.015,,false
107,,,,,,2454,109224,,7.08375,10.189722,6.04,,0.43,F6Va vw,0.046,-0.207,0.033,false
108,,,,,,2475,166296,,7.087917,-20.335,6.43,,0.59,G0V,-0.116,-0.114,0.034,false
109,,,,,,2490,215103,,7.11,-39.915,5.43,,1.56,M0III,0.13,-0.036,0.015,false
110,,,,,,2507,53928,,7.235833,36.9,6.26,,0.92,G5III,-0.011,0.003,,false
111,,,,,,2529,232055,,7.179583,-50.532778,6.26,,1.09,K0III,0.15,-0.002,,false
112,,,,,,2589,4130,,7.729167,77.019444,6.21,,0.84,K0IV,0.337,-0.038,0.023,false
113,,,,,,2626,21457,,7.582917,59.977222,5.94,,0.01,B9IIIn,0.017,-0.012,0.002,false
114, 28    And,28,,,And,2628,74041,GN And,7.530417,29.751667,5.23,,0.24,A7III,0.041,-0.054,0.001,false
115,,,,,,2630,147307,,7.46625,-14.864167,6.14,,0.37,F2III,0.144,-0.032,,false
116,,,,,,2632,192567,,7.45375,-32.116667,6.57,,1.34,K4III,-0.004,-0.054,,false
117, 12    Cet,12,,,Cet,2637,128791,,7.51,-3.957222,5.72,,1.56,M0III,0.011,-0.012,,false
118,,,,,,2696,166318,,7.594583,-23.787778,5.19,,0.12,A5Vn,-0.024,0.013,0.018,false
119,,,,,,2724,215120,BB Phe,7.615833,-40.939444,6.19,,0.33,F2III,-0.001,0.021,,false
120,,,,,,2726,215119,,7.60875,-48.215,5.69,,0.35,F2V,0.129,-0.088,,false
121, 13    Cas,13,,,Cas,2729,11243,,7.855417,66.519444,6.18,,-0.1,B6V,0.023,-0.006,,false
122,,,,,,2767,53956,,7.856667,33.581667,5.87,,1.14,K1III,0.047,-0.019,,false
123, 14Lam Cas,14,Lam,,Cas,2772,21489,,7.943333,54.522222,4.73,,-0.1,B8Vn,0.045,-0.01,0.03,false
124,,,,,,2774,21486,,7.921667,52.839444,5.6,,1.15,K2III,-0.053,-0.019,0.008,false
125,   Lam1Phe,,Lam,1,Phe,2834,215131,,7.854167,-48.803611,4.77,,0.02,A0V,0.143,0.017,0.027,false
126,   Bet1Tuc,,Bet,1,Tuc,2884,248201,,7.88625,-62.958056,4.37,,-0.07,B9V,0.09,-0.054,0.03,false
127,   Bet2Tuc,,Bet,2,Tuc,2885,248202,,7.89,-62.965833,4.54,,0.15,A2V+A7V,0.101,-0.056,0.03,false
128,,,,,,2888,36453,,8.111667,43.494722,6.7,,-0.01,A1Vn,0.018,-0.01,,false
129,,,,,,2904,4142,,8.330417,70.981667,6.42,,-0.01,A0Vn,0.028,-0.004,,false
130, 15Kap Cas,15,Kap,,Cas,2905,11256,Kap Cas,8.25,62.931667,4.16,,0.14,B1Ia,0.003,-0.003,,false
131, 52    Psc,52,,,Psc,2910,74084,,8.147917,20.294444,5.38,,1.08,K0III,0.135,-0.047,0.032,false
132, 51    Psc,51,,,Psc,2913,109262,Var?,8.099167,6.955556,5.67,,0.0,B9.5V,0.035,0.002,,false
133,,,,,,2924,74083,,8.14375,27.580556,6.67,,,A2IV,-0.017,-0.015,,false
134,,,,,,2942,74090,,8.204583,28.280278,6.3,,1.0,K0III,-0.006,0.007,0.006,false
135,,,,,,2952,21512,,8.293333,54.895,5.93,,1.04,K0III,0.071,-0.042,,false
136,   Bet3Tuc,,Bet,3,Tuc,3003,248208,,8.1825,-63.031111,5.09,,0.04,A0V,0.081,-0.038,0.049,false
137, 16    Cas,16,,,Cas,3038,11265,,8.60375,66.750278,6.48,,-0.08,B9III,0.021,0.0,,false
138,,,,,,3059,166367,,8.42125,-29.558333,5.55,,1.27,K2III,-0.026,-0.03,,false
139,   The Tuc,,The,,Tuc,3112,255679,The Tuc,8.347083,-71.266111,6.13,,0.23,A7IV,0.067,-0.012,,false
140,,,,,,3158,232091,,8.615833,-52.373056,5.57,,0.47,F3IV-V,0.23,0.032,0.038,false
141,,,,,,3166,91980,,8.730417,13.371111,6.4,,,K0,-0.09,-0.057,,false
142, 13    Cet,13,,,Cet,3196,128839,212,8.812083,-3.592778,5.2,,0.56,F8V,0.413,-0.026,0.06,false
143, 14    Cet,14,,,Cet,3229,128843,,8.886667,-0.505556,5.93,,0.44,F5IV,0.146,-0.066,,false
144,,,,,,3240,21551,,9.034583,54.168611,5.08,,-0.11,B7III,0.022,0.0,,false
145,,,,,,3268,91990,,8.977917,13.206667,6.41,,0.52,F7V,-0.143,-0.189,0.02,false
146,,,,,,3283,11291,,9.11375,60.326111,5.79,,0.29,A4III,-0.001,-0.003,,false
147,   Lam2Phe,,Lam,2,Phe,3302,215157,,8.92125,-48.000833,5.51,,0.44,F6V,0.045,-0.104,,false
148,,,,,,3303,232099,219,8.889167,-54.821944,6.06,,1.01,K0IV,0.027,-0.054,,false
149,,,,,,3322,74136,221,9.083333,27.254722,6.5,,-0.09,B8IIIpHgMn:,0.011,-0.016,,false
150,,,,,,3325,147360,,9.0125,-14.973611,6.45,,1.06,G9III,-0.083,-0.079,,false
151,,,,,,3326,166400,BG Cet,9.02875,-22.8425,6.06,,0.29,A6pSr,-0.072,-0.052,,false
152,,,,,,3346,36509,,9.194167,44.488611,5.13,,1.6,K5-M0III,-0.023,0.033,0.007,false
153, 17Zet Cas,17,Zet,,Cas,3360,21566,225,9.242917,53.896944,3.66,,-0.2,B2IV,0.019,-0.009,0.004,false
154, 29Pi  And,29,Pi,,And,3369,54033,227,9.220417,33.719444,4.36,,-0.14,B5V,0.015,-0.004,-0.003,false
155, 53    Psc,53,,,Psc,3379,91995,AG Psc,9.197083,15.231667,5.89,,-0.15,B2.5IV,0.002,-0.015,,false
156,,,,,,3411,74148,,9.28,24.014167,6.47,R,,K2III,-0.014,-0.044,,false
157,,,,,,3421,54038,,9.337917,35.399444,5.48,,0.88,G2.5IIa,-0.016,-0.005,,false
158,,,,,,3440,106,235,9.947083,82.493889,6.4,,0.55,dF6,-0.111,0.078,0.028,false
159,,,,,,3443,166418,,9.33625,-24.767222,5.57,,0.72,G8V,1.39,-0.012,0.076,false
160,,,,,,3444,248225,,9.155833,-65.124722,6.42,,1.26,K2-3III,0.029,-0.02,,false
161,,,,,,3457,109315,,9.377083,3.135278,6.39,,1.33,K4III,0.095,-0.061,,false
162,,,,,,3488,232114,,9.325417,-54.394167,6.41,,1.0,K0II-IIICNIV,0.056,-0.021,,false
163, 30Eps And,30,Eps,,And,3546,74164,,9.63875,29.311667,4.37,,0.87,G6IIIFe-3CH1,-0.227,-0.254,0.031,false
164,,,,,,3574,36550,,9.79125,49.354444,5.43,,1.64,K7III,0.008,-0.011,,false
165, 31Del And,31,Del,,And,3627,54058,,9.832083,30.860833,3.27,,1.28,K3III,0.136,-0.091,0.028,false
166, 54    Psc,54,,,Psc,3651,74175,245,9.840833,21.250556,5.87,,0.85,K0+V,-0.464,-0.37,0.099,false
167, 55    Psc,55,,,Psc,3690,74182,,9.981667,21.438333,5.36,,1.16,K0III+F3V,0.028,-0.035,0.009,false
168, 18Alp Cas,18,Alp,,Cas,3712,21609,Alp Cas,10.127083,56.537222,2.23,,1.17,K0IIIa,0.053,-0.032,0.016,false
169,,,,,,3719,255690,,9.67,-73.137222,6.85,,0.11,A1m,-0.017,0.02,,false
170,,,,,,3735,192663,Z Scl,9.99125,-33.961667,6.69,,0.51,F8V,0.333,-0.116,0.02,false
171,,,,,,3750,215185,,9.966667,-44.796667,6.01,,1.14,K1IIICNII,0.045,0.0,,false
172,,,,,,3794,147395,,10.119167,-16.516944,6.49,,0.92,G5,0.037,-0.04,,false
173,,,,,,3795,166475,,10.137083,-23.804444,6.14,,0.7,G3V,0.644,-0.333,0.043,false
174,,,,,,3807,128891,,10.176667,-4.351944,5.91,,1.1,K0III,-0.013,-0.013,,false
175, 32    And,32,,,And,3817,54079,,10.28,39.458611,5.33,,0.89,G8III,-0.01,-0.007,0.01,false
176,,,,,,3823,232143,,10.11,-59.454444,5.89,,0.55,G1V,0.889,0.448,0.058,false
177,,,,,,3856,11336,,10.514167,66.1475,5.83,,1.04,G9III-IV,-0.013,-0.009,,false
178,,,,,,3883,74200,258,10.4,24.629167,6.04,,0.26,A7m,0.107,-0.016,,false
179, 19Xi  Cas,19,Xi,,Cas,3901,21637,260,10.51625,50.5125,4.8,,-0.11,B2V,0.015,-0.005,,false
180,   Mu  Phe,,Mu,,Phe,3919,215194,,10.331667,-46.085,4.59,,0.97,G8III,-0.014,-0.002,0.004,false
181,,,,,,3924,21642,,10.629583,58.753333,6.17,,-0.01,B9.5III,0.036,-0.007,,false
182, M 31  And,M,31,,And,,,S And,,,,,,,,,,true
183,   Xi  Phe,,Xi,,Phe,3980,232152,Xi  Phe,10.443333,-56.501667,5.7,,0.2,ApSrEuCr,0.085,0.044,,false
184, 20Pi  Cas,20,Pi,,Cas,4058,36602,268,10.867083,47.024722,4.94,,0.18,A5V,-0.02,-0.034,0.023,false
185,   Lam1Scl,,Lam,1,Scl,4065,192690,,10.67875,-38.463333,6.06,,-0.03,A0V,0.003,-0.005,,false
186,,,,,,4088,248238,,10.674167,-60.2625,5.98,,1.32,K5III,0.255,-0.045,,false
187,   Rho Tuc,,Rho,,Tuc,4089,248237,,10.618333,-65.468056,5.39,,0.5,F6V,0.053,0.042,0.038,false
188, 16Bet Cet,16,Bet,,Cet,4128,147420,272,10.8975,-17.986667,2.04,,1.02,G9.5IIICH-1,0.234,0.033,0.061,false
189,,,,,,4142,36617,,11.11,47.864167,5.67,,-0.12,B5V,-0.026,0.015,,false
190,,,,,,4145,147422,,10.959167,-12.011667,6.02,,1.1,K2III-IV,0.007,-0.204,,false
191,   Eta Phe,,Eta,,Phe,4150,232162,,10.838333,-57.463056,4.36,,0.0,A0IV,-0.006,0.011,0.046,false
192, 21    Cas,21,,,Cas,4161,4216,YZ Cas,11.4125,74.988056,5.66,,0.05,A2IV,-0.018,-0.026,,false
193, 22Omi Cas,22,Omi,,Cas,4180,36620,Omi Cas,11.18125,48.284444,4.54,,-0.07,B5IIIe,0.019,-0.008,,false
194, 17Phi1Cet,17,Phi,1,Cet,4188,147423,278,11.0475,-10.609444,4.76,,1.01,K0III,-0.009,-0.113,0.022,false
195,   Lam2Scl,,Lam,2,Scl,4211,192703,,11.050417,-38.421667,5.9,,1.16,K1III,0.244,0.113,0.01,false
196,,,,,,4222,21677,,11.321667,55.221667,5.42,,0.04,A2V s,-0.025,0.002,0.012,false
197,,,,,,4247,166528,,11.185,-22.006111,5.24,,0.33,F1III-IV,-0.066,0.083,0.048,false
198,,,,,,4293,215221,,11.237917,-42.676667,5.94,,0.28,F0V,-0.086,-0.102,,false
199,,,,,,4294,248243,,11.134583,-62.497778,6.07,,0.44,F5III-IV,0.143,-0.005,,false
200,,,,,,4295,11380,,11.6625,69.325,6.33,R,,F3V,0.196,0.001,,false
201,,,,,,4301,128935,,11.350417,-4.629167,6.15,,1.62,M0III,0.028,0.033,,false
202,,,,,,4304,232168,,11.25,-53.715,6.15,,0.53,F7III,0.23,0.0,,false
203, 18    Cet,18,,,Cet,4307,147432,,11.369583,-12.880833,6.15,,0.61,G0V,-0.034,-0.201,,false
204,,,,,,4321,21689,,11.562917,55.305278,6.52,,,A2III,0.015,-0.012,,false
205,,,,,,4335,36640,,11.545417,44.861389,6.05,,-0.07,B9.5IIIpHgMnCr,0.028,-0.009,,false
206,,,,,,4338,147436,,11.42375,-16.424167,6.47,,0.31,F1IVn,0.014,-0.005,,false
207,,,,,,4362,21693,,11.676667,59.574444,6.39,,1.09,G0Ib,-0.008,-0.001,,false
208, 23    Cas,23,,,Cas,4382,4226,,11.942083,74.8475,5.41,,-0.08,B8III,0.015,-0.009,,false
209,,,,,,4391,215232,,11.44,-47.551667,5.8,,0.64,G1V,0.184,0.086,0.049,false
210,,,,,,4398,166555,,11.549167,-22.521944,5.5,,0.98,G3V,0.201,-0.006,0.021,false
211, 57    Psc,57,,,Psc,4408,92072,293,11.6375,15.475556,5.38,,1.65,M4IIIa,-0.027,-0.044,0.015,false
212,,,,,,4440,4229,,12.037917,72.675,5.87,,1.01,K0IV,0.13,0.024,,false
213, 58    Psc,58,,,Psc,4482,92080,,11.75625,11.973889,5.5,,0.97,G8II,0.058,-0.036,,false
214, 59    Psc,59,,,Psc,4490,92082,XX Psc,11.806667,19.578889,6.13,,0.27,F0Vn,0.104,0.011,,false
215, 34Zet And,34,Zet,,And,4502,74267,Zet And,11.834583,24.267222,4.06,,1.12,K1IIe,-0.1,-0.083,0.037,false
216, 60    Psc,60,,,Psc,4526,109461,,11.848333,6.740833,5.99,,0.94,G8III,0.014,-0.015,,false
217, 61    Psc,61,,,Psc,4568,74280,,11.978333,20.925278,6.54,,0.5,F8V,0.157,0.006,0.022,false
218,,,,,,4585,147451,,11.930417,-18.061389,5.7,,1.3,K3III,0.043,0.031,,false
219, 24Eta Cas,24,Eta,,Cas,4614,21732,,12.275,57.815833,3.44,,0.57,F9V+dM0,1.1,-0.529,0.176,false
220,,,,,,4622,166585,,12.004583,-21.7225,5.57,,-0.06,B9V,0.028,-0.011,,false
221, 62    Psc,62,,,Psc,4627,109470,,12.0725,7.3,5.93,,1.1,G8III,0.111,0.004,,false
222,,,,,,4628,109471,,12.095833,5.280556,5.75,,0.88,K2V,0.758,-1.146,0.145,false
223, 25Nu  Cas,25,Nu,,Cas,4636,21729,302,12.20875,50.968333,4.89,,-0.11,B9III,0.035,-0.006,,false
224, 63Del Psc,63,Del,,Psc,4656,109474,,12.170833,7.585,4.43,,1.5,K4IIIb,0.085,-0.052,0.019,false
225, 64    Psc,64,,,Psc,4676,92099,,12.244583,16.940556,5.07,,0.51,F8V,-0.003,-0.204,0.047,false
226, 35Nu  And,35,Nu,,And,4727,36699,,12.453333,41.078889,4.53,,-0.15,B5V+F8V,0.023,-0.019,,false
227,,,,,,4730,147464,,12.356667,-13.561389,5.59,,1.3,K5III,0.105,-0.104,,false
228,,,,,,4732,166602,,12.307917,-24.136389,5.9,,0.95,K2III,0.078,-0.051,,false
229,,,,,,4737,215245,,12.23625,-46.697778,6.27,,0.9,G8III,-0.008,0.017,,false
230, 65    Psc,65,,,Psc,4757,74295,,12.47,27.710833,7.0,,0.36,F4III,0.084,-0.01,0.011,false
231, 65    Psc,65,,,Psc,4758,74296,,12.471667,27.710278,7.1,,,F5III,0.091,-0.009,0.011,false
232,,,,,,4772,166608,,12.389167,-23.361667,6.28,,0.13,A3V,-0.008,0.0,,false
233,,,,,,4775,11424,317,12.681667,64.2475,5.39,,0.49,G0III-IV+B9.5V,0.03,-0.012,,false
234,,,,,,4778,36702,GO And,12.57625,45.002222,6.15,,0.01,A0pCr,0.065,0.006,,false
235, 19Phi2Cet,19,Phi,2,Cet,4813,147470,316,12.531667,-10.644444,5.19,,0.5,F7IV-V,-0.226,-0.229,0.065,false
236,   Lam Hyi,,Lam,,Hyi,4815,255710,,12.1475,-74.923333,5.07,,1.37,K5III,0.13,-0.033,0.025,false
237,,,,,,4817,11430,319,12.818333,61.805833,6.07,,1.88,K2Ib-IICN-2,-0.002,0.006,,false
238,,,,,,4818,21767,V526 Cas,12.739167,51.508056,6.39,,0.28,F2IV,0.135,-0.003,,false
239,,,,,,4849,215254,AZ Phe,12.515417,-43.394722,6.48,,0.29,A9-F0III,0.011,0.016,,false
240,,,,,,4853,143,,13.72125,83.707222,5.62,,0.09,A4V,0.062,-0.022,,false
241,,,,,,4881,21775,,12.890417,51.571111,6.21,,,B9.5V,-0.01,-0.019,,false
242,   Rho Phe,,Rho,,Phe,4919,232203,Rho Phe,12.671667,-50.986944,5.22,,0.36,F2III,0.067,0.039,0.005,false
243,,,,,,4928,109507,,12.82625,3.385,6.37,,1.07,K0III,0.016,-0.067,,false
244,,,,,,5015,11444,,13.267083,61.124167,4.82,,0.53,F8V,-0.071,0.172,0.066,false
